"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25082","eNach With out round off Calculation Testing | Scenario=S24 | Mode=Net Banking | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:28:50 IST 2025","failed","Thu Oct 16 08:29:16 IST 2025","TestCalculations","eNach_test","",""
"","19152","eNach With out round off Calculation Testing | Scenario=S24 | Mode=BHIM UPI QR | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:33:31 IST 2025","passed","Thu Oct 16 08:33:50 IST 2025","TestCalculations","eNach_test","",""
"","9619","Calculation Testing | Scenario=S24 | Mode=Wallet | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:50:39 IST 2025","failed","Thu Oct 16 08:50:49 IST 2025","TestCalculations","Calculation_test","",""
"","31136","Calculation Testing | Scenario=S24 | Mode=RuPay Card | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:52:12 IST 2025","passed","Thu Oct 16 08:52:43 IST 2025","TestCalculations","Calculation_test","",""
"","42355","eNach With out round off Calculation Testing | Scenario=S24 | Mode=Credit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:28:00 IST 2025","passed","Thu Oct 16 08:28:43 IST 2025","TestCalculations","eNach_test","",""
"","13503","Calculation Testing | Scenario=S24 | Mode=Credit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:45:23 IST 2025","failed","Thu Oct 16 08:45:36 IST 2025","TestCalculations","Calculation_test","",""
"","10475","eNach With out round off Calculation Testing | Scenario=S24 | Mode=Credit Card | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:27:14 IST 2025","failed","Thu Oct 16 08:27:25 IST 2025","TestCalculations","eNach_test","",""
"","9950","Calculation Testing | Scenario=S24 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:49:26 IST 2025","failed","Thu Oct 16 08:49:36 IST 2025","TestCalculations","Calculation_test","",""
"","22809","eNach With out round off Calculation Testing | Scenario=S24 | Mode=RuPay Credit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:36:09 IST 2025","passed","Thu Oct 16 08:36:32 IST 2025","TestCalculations","eNach_test","",""
"","10222","eNach With out round off Calculation Testing | Scenario=S24 | Mode=UPI | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:30:31 IST 2025","failed","Thu Oct 16 08:30:41 IST 2025","TestCalculations","eNach_test","",""
"","21310","Calculation Testing | Scenario=S24 | Mode=Debit Card | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:42:52 IST 2025","passed","Thu Oct 16 08:43:13 IST 2025","TestCalculations","Calculation_test","",""
"","14116","eNach With out round off Calculation Testing | Scenario=S24 | Mode=RuPay Card | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:34:26 IST 2025","failed","Thu Oct 16 08:34:40 IST 2025","TestCalculations","eNach_test","",""
"","24733","Calculation Testing | Scenario=S24 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:53:45 IST 2025","passed","Thu Oct 16 08:54:10 IST 2025","TestCalculations","Calculation_test","",""
"","20182","Calculation Testing | Scenario=S24 | Mode=UPI | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:48:59 IST 2025","passed","Thu Oct 16 08:49:19 IST 2025","TestCalculations","Calculation_test","",""
"","19265","Calculation Testing | Scenario=S24 | Mode=Wallet | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:50:09 IST 2025","passed","Thu Oct 16 08:50:28 IST 2025","TestCalculations","Calculation_test","",""
"","16426","Calculation Testing | Scenario=S24 | Mode=BHIM UPI QR | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:51:24 IST 2025","passed","Thu Oct 16 08:51:40 IST 2025","TestCalculations","Calculation_test","",""
"","18677","Calculation Testing | Scenario=S24 | Mode=UPI | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:48:32 IST 2025","passed","Thu Oct 16 08:48:50 IST 2025","TestCalculations","Calculation_test","",""
"","20044","Calculation Testing | Scenario=S24 | Mode=RuPay Card | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:52:56 IST 2025","passed","Thu Oct 16 08:53:16 IST 2025","TestCalculations","Calculation_test","",""
"","8664","eNach With out round off Calculation Testing | Scenario=S24 | Mode=Wallet | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:31:46 IST 2025","failed","Thu Oct 16 08:31:55 IST 2025","TestCalculations","eNach_test","",""
"","19745","eNach With out round off Calculation Testing | Scenario=S24 | Mode=RuPay Card | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:35:17 IST 2025","passed","Thu Oct 16 08:35:37 IST 2025","TestCalculations","eNach_test","",""
"","20327","Calculation Testing | Scenario=S24 | Mode=Debit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:43:57 IST 2025","passed","Thu Oct 16 08:44:17 IST 2025","TestCalculations","Calculation_test","",""
"","18400","Calculation Testing | Scenario=S24 | Mode=Net Banking | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:46:09 IST 2025","passed","Thu Oct 16 08:46:27 IST 2025","TestCalculations","Calculation_test","",""
"","22677","eNach With out round off Calculation Testing | Scenario=S24 | Mode=RuPay Credit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:36:50 IST 2025","passed","Thu Oct 16 08:37:13 IST 2025","TestCalculations","eNach_test","",""
"","18109","eNach With out round off Calculation Testing | Scenario=S24 | Mode=BHIM UPI QR | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:33:58 IST 2025","passed","Thu Oct 16 08:34:16 IST 2025","TestCalculations","eNach_test","",""
"","12150","Calculation Testing | Scenario=S24 | Mode=RuPay Credit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:54:46 IST 2025","failed","Thu Oct 16 08:54:59 IST 2025","TestCalculations","Calculation_test","",""
"","21017","eNach With out round off Calculation Testing | Scenario=S24 | Mode=UPI | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:30:49 IST 2025","passed","Thu Oct 16 08:31:10 IST 2025","TestCalculations","eNach_test","",""
"","26774","eNach With out round off Calculation Testing | Scenario=S24 | Mode=Net Banking | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:29:30 IST 2025","passed","Thu Oct 16 08:29:56 IST 2025","TestCalculations","eNach_test","",""
"","19828","Calculation Testing | Scenario=S24 | Mode=Debit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:43:23 IST 2025","passed","Thu Oct 16 08:43:42 IST 2025","TestCalculations","Calculation_test","",""
